nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,91449,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,7091,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,-,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,6215,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,364,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,3874,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,2227,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,6287,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,7360,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,-,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,1143,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,2362,SULAWESI TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,11742,SULAWESI SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,1860,SULAWESI TENGGARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,1190,GORONTALO
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,-,SULAWESI BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,360,MALUKU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,629,MALUKU UTARA
