kecamatan,keruak,sakra,terara,sikur,masbagik,sukamulia,selong,pringgabaya,aikmel,sambelia,montonggading,pringgasela,suralaga,wanasaba,sembalun,suela,labuhanhaji,sakratimur,sakrabarat,jerowaru,lenek
cowok,14455,16871,18473,19399,26834,9459,23303,28204,18078,8582,11874,15897,16284,16516,5385,10948,16261,13088,14890,14485,10283
cewek,11869,13761,14374,15256,21001,7794,19712,23175,14370,7003,9171,12405,13661,13687,4303,8650,13399,10532,11972,12009,8420
